   105;	20200310124225_668;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	37;	3;	3;	1;	154;
   106;	20200310124225_735;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	41;	3;	3;	1;	154;
   107;	20200310124225_873;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	53;	2;	3;	1;	154;
   108;	20200310124225_907;	00003;00186;00186;00023;02791;02631;01122;00842;00551;31115;21296;01518!;	43;	3;	3;	1;	153;
   109;	20200310124225_975;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	52;	3;	3;	1;	154;
   110;	20200310124226_023;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	45;	3;	3;	1;	153;
   111;	20200310124226_097;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	44;	2;	3;	1;	154;
   112;	20200310124226_130;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	49;	3;	3;	1;	154;
   113;	20200310124226_197;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	47;	3;	3;	1;	154;
   114;	20200310124226_246;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	38;	3;	4;	1;	154;
   115;	20200310124226_311;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	58;	2;	3;	1;	154;
   116;	20200310124226_455;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	51;	3;	3;	1;	155;
   117;	20200310124226_478;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	60;	3;	3;	1;	155;
   118;	20200310124226_530;	00003;00186;00186;00023;02790;02452;00568;00955;00688;31255;21370;01537!;	57;	3;	3;	1;	155;
   119;	20200310124226_633;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	59;	2;	3;	1;	156;
   120;	20200310124226_737;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	53;	3;	3;	1;	156;
   121;	20200310124226_778;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	51;	3;	3;	1;	156;
   122;	20200310124226_851;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	56;	3;	3;	1;	157;
   123;	20200310124226_890;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	40;	3;	3;	1;	156;
   124;	20200310124227_023;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	27;	3;	3;	1;	156;
   125;	20200310124227_047;	00003;00186;00186;00023;02785;03235;00504;00913;00608;31223;21323;01515!;	53;	3;	3;	1;	157;
   126;	20200310124227_117;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	46;	3;	3;	1;	157;
   127;	20200310124227_231;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	70;	3;	3;	1;	157;
   128;	20200310124227_318;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	54;	3;	3;	1;	156;
   129;	20200310124227_393;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	56;	2;	3;	1;	156;
   130;	20200310124227_451;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	54;	3;	3;	1;	155;
   131;	20200310124227_603;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	52;	3;	3;	1;	155;
   132;	20200310124227_630;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	51;	3;	3;	1;	155;
   133;	20200310124227_680;	00003;00187;00187;00023;02792;02848;00791;00488;00889;31059;21174;01420!;	63;	3;	3;	1;	155;
   134;	20200310124227_730;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	54;	3;	3;	1;	155;
   135;	20200310124227_807;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	64;	3;	3;	1;	154;
   136;	20200310124227_878;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	49;	3;	3;	1;	155;
   137;	20200310124227_952;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	50;	3;	3;	1;	156;
   138;	20200310124228_025;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	56;	3;	3;	1;	156;
   139;	20200310124228_135;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	44;	3;	3;	1;	156;
   140;	20200310124228_178;	00003;00187;00187;00023;02791;02447;00664;01011;00723;31397;21390;01551!;	63;	3;	3;	1;	156;
   141;	20200310124228_261;	00003;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	50;	3;	3;	1;	156;
   142;	20200310124228_322;	00003;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	33;	2;	3;	1;	156;
   143;	20200310124228_435;	00003;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	59;	3;	3;	1;	156;
   144;	20200310124228_513;	00002;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	41;	3;	3;	1;	155;
   145;	20200310124228_656;	00002;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	63;	3;	3;	1;	155;
   146;	20200310124228_678;	00002;00186;00186;00023;02789;02418;00474;00894;00612;31387;21394;01558!;	41;	3;	3;	1;	154;
   147;	20200310124228_755;	00002;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	49;	3;	3;	1;	154;
   148;	20200310124228_828;	00002;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	38;	3;	3;	1;	152;
   149;	20200310124228_901;	00002;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	40;	3;	3;	1;	152;
   150;	20200310124228_991;	00002;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	52;	3;	3;	1;	152;
   151;	20200310124229_095;	00003;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	56;	3;	3;	1;	151;
   152;	20200310124229_238;	00003;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	53;	3;	3;	1;	151;
   153;	20200310124229_278;	00003;00186;00186;00023;02788;02423;00689;01031;00742;31516;20957;01698!;	47;	3;	3;	1;	150;
   154;	20200310124229_375;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	56;	3;	3;	1;	151;
   155;	20200310124229_503;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	42;	3;	3;	1;	151;
   156;	20200310124229_571;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	52;	3;	3;	1;	151;
   157;	20200310124229_643;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	51;	2;	3;	1;	151;
   158;	20200310124229_818;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	45;	3;	3;	1;	151;
   159;	20200310124229_862;	00003;00187;00187;00023;02792;02683;00592;00967;00677;31475;20906;01692!;	50;	3;	3;	1;	152;
   160;	20200310124229_918;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	47;	2;	3;	1;	152;
   161;	20200310124229_985;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	53;	3;	3;	1;	153;
   162;	20200310124230_058;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	37;	3;	3;	1;	153;
   163;	20200310124230_181;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	36;	2;	3;	1;	154;
   164;	20200310124230_228;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	54;	3;	3;	1;	155;
   165;	20200310124230_472;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	59;	3;	3;	1;	156;
   166;	20200310124230_487;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	47;	3;	3;	1;	156;
   167;	20200310124230_530;	00003;00187;00187;00023;02791;02943;01258;00939;00624;31451;20883;01680!;	39;	3;	3;	1;	156;
